Name,mach,aoa-deg,beta,vx,vy,vz,temp,dens,pres,visc,sos,velocity,drag_coeff,Iterations,drag_force,lift_coeff,lift_force,moment,roll_mom,yaw_mom,q,sideforce,Last Updated
Case_49,2.770831405,-5.053637788,1.849762282,0.985241346,-0.083250451,-0.149562204,288.15,1.225,101325,0.0000179,340.2626486,1706.54453,0.084765864,15014,982.7785056,-0.503261695,-5834.834361,-2216.06054,0.91683189,-1545.390454,-5586.672598,-4234.3867,
Case_5,6.796041615,9.85534975,1.612518532,0.984852845,-0.028140042,0.171093577,288.15,1.225,101325,0.0000179,340.2626486,2312.4391,0.065568485,15014,1395.838481,1.222437102,26023.55015,8341.65766,7.201223046,-1172.944708,-31629.64814,-2415.9837,
Case_50,4.902086178,-0.911594029,1.185814456,0.991263911,-0.056500666,0.119178575,288.15,1.225,101325,0.0000179,340.2626486,2169.58368,0.062319994,15014,1167.829968,0.519209872,9729.603831,2852.117172,0.256172109,-1222.196513,-16991.67874,-2961.8505,
Case_6,6.248255259,5.944944025,4.277508982,0.991851348,-0.074587284,0.103284268,288.15,1.225,101325,0.0000179,340.2626486,2126.04788,0.08057548,15014,1449.934514,0.640580397,11527.07536,3346.337474,11.97582943,-2511.917002,-27242.47901,-5876.0161,
Case_7,7.268382803,-7.707945375,4.86640821,0.987392384,-0.084832764,-0.133640118,288.15,1.225,101325,0.0000179,340.2626486,2473.15918,0.136839389,15014,3332.074256,-0.999624376,-24341.11024,-10478.481,196.0486808,-6430.525149,-36381.7425,-16108.656,
Case_8,6.67346814,3.892029144,0.730639085,0.997612612,-0.012751712,0.067870976,288.15,1.225,101325,0.0000179,340.2626486,2270.73194,0.07545776,15014,1548.94164,0.343447455,7050.037815,1641.306064,3.768338323,-423.7181568,-31338.52318,-999.16437,
Case_9,5.318032595,-7.234657239,2.018478097,0.991423168,-0.035221802,-0.125855185,288.15,1.225,101325,0.0000179,340.2626486,1809.52785,0.152803786,12055,1991.884102,-1.061357816,-13835.40171,-5793.024702,46.33147319,-1642.647369,-19940.05801,-4226.7994,
Case_1b,5.201523385,6.053234906,-4.105274113,0.99187285,0.071589259,0.105181882,288.15,1.225,101325,0.0000179,340.2626486,1769.88412,0.099900567,15014,1245.824946,0.730403667,9108.608093,2623.12902,-3.994822534,1729.736319,-19121.5395,4185.3911,
Case_10b,6.033042556,8.095347728,-0.411743402,0.990009531,0.007186216,0.140817208,288.15,1.225,101325,0.0000179,340.2626486,2052.81903,0.077722603,14978,1303.911388,0.960282563,16110.15732,4917.803043,-0.463594099,230.4562434,-25436.03604,515.16826,
Case_11b,6.859827574,-9.701417858,-2.663700464,0.98463427,0.046473598,-0.168331696,288.15,1.225,101325,0.0000179,340.2626486,2334.14309,0.153762172,15014,3335.061635,-1.236395673,-26817.10158,-11409.3567,-102.3991409,3380.880415,-32502.50721,8653.6488,
Case_12b,7.496178038,-3.49237872,-3.956797801,0.995763701,0.06900427,-0.06077057,288.15,1.225,101325,0.0000179,340.2626486,2550.66939,0.0994796,15014,2576.569,-0.507086656,-13133.78579,-6061.405353,-154.9844443,4589.706191,-38892.50626,11032.582,
Case_13b,7.10671772,-6.591338224,-2.998487762,0.992030095,0.052309599,-0.114629822,288.15,1.225,101325,0.0000179,340.2626486,2418.15059,0.123808716,15014,2882.15487,-0.841455482,-19588.32208,-8584.913051,-116.231363,3655.840993,-34924.14,9100.5826,
Case_14b,5.490264453,1.418949246,-1.192004956,0.999477017,0.02080291,0.024757446,288.15,1.225,101325,0.0000179,340.2626486,1868.13192,0.101545412,15014,1410.830358,0.089022282,1236.839122,-210.603454,-14.91505232,555.006015,-21528.64248,1377.392,
Case_15b,5.89792671,-2.502714684,-4.514906355,0.995946001,0.078718456,-0.04353122,288.15,1.225,101325,0.0000179,340.2626486,2006.84416,0.114381018,15014,1833.921167,-0.456434951,-7318.222293,-3382.505086,-113.7921317,3352.534392,-24436.1418,8288.1861,
